display_name_jpn,reading_jpn
地縛霊,アース・バウンド・スピリット
アーマード・スターフィッシュ,アーマード・スターフィッシュ
鎧蜥蜴,アーマー・リザード
アーメイル,アーメイル
アイアン・ハート,アイアン・ハート
アイルの小剣士,アイルのしょうけんし
朱い靴,あかいくつ
赤き剣のライムンドス,あかきけんのライムンドス
アクア・スネーク,アクア・スネーク
アクア・ドラゴン,アクア・ドラゴン
アクアの合唱,アクアのがっしょう
アクア・マドール,アクア・マドール
悪の無名戦士,あくのむめいせんし
悪魔鏡の儀式,あくまかがみのぎしき
悪魔のくちづけ,あくまのくちづけ
悪魔のサイコロ,あくまのサイコロ
悪魔の知恵,あくまのちえ
悪魔の偵察者,あくまのていさつしゃ
悪魔払い,あくまばらい
悪夢の鉄檻,あくむのてつおり
アサシン,アサシン
浅すぎた墓穴,あさすぎたはかあな
アシッドクロウラー,アシッドクロウラー
アックス・レイダー,アックス・レイダー
アブソリューター,アブソリューター
アマゾネスの射手,アマゾネスアーチャー
あまのじゃくの呪い,あまのじゃくののろい
アメーバ,アメーバ
アルラウネ,アルラウネ
暗黒火炎龍,あんこくかえんりゅう
暗黒騎士ガイア,あんこくきしガイア
暗黒の扉,あんこくのとびら
暗黒の竜王,あんこくのドラゴン
暗黒の眠りを誘うルシファー,あんこくのねむりをさそうルシファー
暗黒魔神　ナイトメア,あんこくまじん　ナイトメア
暗黒魔族ギルファー・デーモン,あんこくまぞくギルファー・デーモン
アンデット・ウォーリアー,アンデット・ウォーリアー
アンモ・ナイト,アンモ・ナイト
イースター島のモアイ,イースターとうのモアイ
怒りの海王,いかりのかいおう
生き血をすするもの,いきちをすするもの
生贄封じの仮面,いけにえふうじのかめん
異国の剣士,いこくのけんし
異次元からの侵略者,いじげんからのしんりゃくしゃ
異次元の戦士,いじげんのせんし
泉の妖精,いずみのようせい
異星の最終戦士,いせいのさいしゅうせんし
イタクァの暴風,イタクァのぼうふう
いたずら好きな双子悪魔,いたずらずきなふたごあくま
痛み分け,いたみわけ
一族の掟,いちぞくのおきて
一角獣のホーン,いっかくじゅうのホーン
稲妻の剣,いなずまのけん
命ある花瓶,いのちあるかびん
命の砂時計,いのちのすなどけい
命を食する者,いのちをしょくするもの
イビー,イビー
イビル・ラット,イビル・ラット
幻想師・ノー・フェイス,イリュージョニスト・ノー・フェイス
イリュージョン・シープ,イリュージョン・シープ
イリュージョンの儀式,イリュージョンのぎしき
岩の精霊　タイタン,いわのせいれい　タイタン
岩の戦士,いわのせんし
インセクション,インセクション
インセクト女王,インセクトクイーン
インセクトモンスタートークン,インセクトモンスタートークン
インプ,インプ
ウィジャ盤,ウィジャばん
ウィップテイル・ガーゴイル,ウィップテイル・ガーゴイル
ウィルミー,ウィルミー
ウイング・イーグル,ウイング・イーグル
ウィング・エッグ・エルフ,ウィング・エッグ・エルフ
ウェザ,ウェザ
ウェザー・コントロール,ウェザー・コントロール
ウェザー・レポート,ウェザー・レポート
ウォー・アース,ウォー・アース
ウォーター・エレメント,ウォーター・エレメント
ウォーター・ガール,ウォーター・ガール
ウォーターワールド,ウォーターワールド
ウォール・シャドウ,ウォール・シャドウ
牛鬼,うしおに
美しき魔物使い,うつくしきまものつかい
ウッド・ジョーカー,ウッド・ジョーカー
移り気な仕立屋,うつりぎなしたてや
海原の女戦士,うなばらのおんなせんし
海,うみ
海を守る戦士,うみをまもるせんし
ウンディーネ,ウンディーネ
運命のろうそく,うんめいのろうそく
エア・イーター,エア・イーター
永遠の渇水,えいえんのかっすい
疫病ウィルス　ブラックダスト,えきびょうウィルス　ブラックダスト
エクスチェンジ,エクスチェンジ
エビルナイト・ドラゴン,エビルナイト・ドラゴン
選ばれし者,えらばれしもの
エルディーン,エルディーン
エルフの剣士,エルフのけんし
エルフの光,エルフのひかり
エレキッズ,エレキッズ
エレクトリック・スネーク,エレクトリック・スネーク
援軍,えんぐん
エンジェル・魔女,エンジェル・まじょ
エンシェント・エルフ,エンシェント・エルフ
エンゼル・イヤーズ,エンゼル・イヤーズ
追い剥ぎゴブリン,おいはぎゴブリン
王宮のお触れ,おうきゅうのおふれ
王宮の号令,おうきゅうのごうれい
王宮の勅命,おうきゅうのちょくめい
王座の守護者,おうざのしゅごしゃ
王座の侵略者,おうざのしんりゃくしゃ
王室前のガーディアン,おうしつまえのガーディアン
押収,おうしゅう
王の右手の栄光,おうのみぎてのえいこう
大嵐,おおあらし
オオカミ,オオカミ
大食いグール,おおぐいグール
大騒動,おおそうどう
オクトバーサー,オクトバーサー
オシリスの天空竜,オシリスのてんくうりゅう
オシロ・ヒーロー,オシロ・ヒーロー
落とし穴,おとしあな
音女,オトメ
踊りによる誘発,おどりによるゆうはつ
おとり人形,おとりにんぎょう
鬼タンクＴ－３４,おにタンクＴ－３４
オベリスクの巨神兵,オベリスクのきょしんへい
女剣士カナン,おんなけんしカナン
怨念集合体,おんねんしゅうごうたい
陰陽師　タオ,おんみょうし　タオ
怨霊の湿地帯,おんりょうのしっちたい
ガーゴイル,ガーゴイル
ガーゴイル・パワード,ガーゴイル・パワード
カース・オブ・ドラゴン,カース・オブ・ドラゴン
カードを狩る死神,カードをかるしにがみ
ガーネシア・エレファンティス,ガーネシア・エレファンティス
ガイアパワー,ガイアパワー
絵画に潜む者,かいがにひそむもの
カイザー・ドラゴン,カイザー・ドラゴン
海賊船スカルブラッド号,かいぞくせんスカルブラッドごう
カウンターパンチ,カウンターパンチ
カエルスライム,カエルスライム
火炎地獄,かえんじごく
火炎草,かえんそう
カオス・ウィザード,カオス・ウィザード
カオス－黒魔術の儀式,カオス－くろまじゅつのぎしき
カオス・ソルジャー,カオス・ソルジャー
カオスの儀式,カオスのぎしき
カオスポッド,カオスポッド
科学特殊兵,かがくとくしゅへい
火器付機甲鎧,かきつきインセクトアーマー
覚醒,かくせい
カクタス,カクタス
格闘戦士アルティメーター,かくとうせんしアルティメーター
革命,かくめい
ガジェット・ソルジャー,ガジェット・ソルジャー
風の精霊,かぜのせいれい
風の精霊　ガルーダ,かぜのせいれい　ガルーダ
風の番人　ジン,かぜのばんにん　ジン
カタパルト・タートル,カタパルト・タートル
カッター・ロボ,カッター・ロボ
ガトリングバギー,ガトリングバギー
カニカブト,カニカブト
ガニグモ,ガニグモ
カマキラー,カマキラー
雷ウナギ,かみなりウナギ
雷仙人,かみなりせんにん
神の息吹,かみのいぶき
